,Charity Number,Charity Name,Charity Address,Charity Postcode,Charity Constituency,Phone,Email,Website,Last Recorded Financial Year,Last Recorded Income,Last Recorded Expenditure,Charity Type,How the charity helps,What the charity does,Who the charity helps,Activities,Charity Objects,TH Postcode,Charity Size Band,Size Band,Primary Focus
10,211196,POPLAR METHODIST CHURCH SICK & POOR FUND,"Bow Road Methodist Church, 1 Merchant Street, LONDON",E3 4LY,Stratford and Bow,02088807301,admin@mcth.org.uk,Not available,31/08/2024,855.0,60.0,Other,Makes Grants To Individuals,The Prevention Or Relief Of Poverty,"Elderly/old People, Other Defined Groups",Support to needy people in the historical borough of Poplar,"GRANTS FOR POOR PERSONS RESIDING IN POPLAR WHO ARE SICK, INFIRM, CONVALESCENT OR IN NEED OF REST OR CHANGE OF AIR, TO DEFRAY THE EXPENSE OF RECUPERATIVE HOLIDAYS OR OF OBTAINING DOMESTIC HELP.",True,Micro,Dormant,The Prevention Or Relief Of Poverty
11,211399,PARISH OF POPLAR BENEVOLENT FUND,"St. Michael's Vicarage, 164 St. Leonards Road, Poplar, LONDON",E14 6PW,Poplar and Limehouse,02079878625,allsaints.poplar@tiscali.co.uk,http://www.parishofpoplar.com/,31/12/2024,4590.0,1094.0,Other,"Makes Grants To Individuals, Makes Grants To Organisations","General Charitable Purposes, The Prevention Or Relief Of Poverty",Other Defined Groups,Small grants of money or the purchase of needed items for those in financial need within the borough/parish of Poplar.,FOR THE BENEFIT OF THE DESEVING POOR.,True,Micro,Dormant,The Prevention Or Relief Of Poverty
12,211536,SELDEN SOCIETY,"QUEEN MARY UNIVERSITY OF LONDON, 327 MILE END ROAD, LONDON",E1 4NS,Bethnal Green and Stepney,02078823968,selden-society@qmul.ac.uk,www.seldensociety.ac.uk,31/12/2024,116834.0,76761.0,Other,"Provides Advocacy/advice/information, Sponsors Or Undertakes Research",Education/training,Other Defined Groups,"To encourage the study and advance the knowledge of the history of English law, mainly by researching and publishing the original source-materials of the law, legal institutions and legal profession.","TO ENCOURAGE THE STUDY AND ADVANCE THE KNOWLEDGE OF THE HISTORY OF ENGLISH LAW, ESPECIALLY BY THE PUBLICATION OF ORIGINAL DOCUMENTS AND THE REPRINTING OR EDITING OF WORKS OF SUFFICENT RARITY AND IMPORTANCE.",True,Medium,Dormant,Education/training
13,212208,ST HILDA'S EAST,"18 Club Row, LONDON",E2 7EY,Bethnal Green and Stepney,020 77398066,mail@sthildas.org.uk,www.sthildas.org.uk,31/03/2025,1780399.0,1746541.0,Charitable company,"Provides Services, Provides Advocacy/advice/information","Education/training, The Prevention Or Relief Of Poverty","Children/young People, Elderly/old People, People With Disabilities, The General Public/mankind","St Hilda's is a multi-purpose community centre running a number of projects for the local population including an Older People's Project, an advice service including Legal Advice Clinics, youth groups, Food Co-op project, Women's Project, mental health support, creche and under 5s facilities and others. It also runs an off-site day centre service targeted at Bangladeshi older people.","(I) THE RELIEF OF NEED WHICH ARISES AS A RESULT OF POVERTY, OLD AGE, DISABILITY OR ILLNESS;
(II) TO PROVIDE FOR THE ADVANCEMENT OF EDUCATION;
(III) IN THE INTERESTS OF THE SOCIAL WELFARE OF THE INHABITANTS OF THE LONDON BOROUGH OF TOWER HAMLETS AND SURROUNDING AREAS IN PARTICULAR, BUT NOT EXCLUSIVELY, OF THE WEAVERS WARD AND IN ORDER TO IMPROVE THE CONDITIONS OF LIFE FOR THOSE IN NEED OF SUCH FACILITIES BY REASON OF POVERTY, YOUTH, AGE.  INFIRMITY, DISABLEMENT, OR SOCIAL OR ECONOMIC CIRCUMSTANCE WITHOUT REGARD TO AGE, GENDER, ETHNICITY, SEXUALITY, RELIGION OR DISABILITY TO PROVIDE FACILITIES FOR RECREATIONAL AND LEISURE TIME OCCUPATION WITHIN THE MEANING OF THE RECREATIONAL CHARITIES ACT 1958.",True,Large,Dormant,The Prevention Or Relief Of Poverty
14,212563,BARTS CHARITY,"Barts Charity, Red Lion Buildings, 12 Cock Lane, London",EC1A 9BU,Cities of London and Westminster,02076181717,fiona.bickley@bartscharity.org.uk,www.bartscharity.org.uk,31/03/2025,12894000.0,28925000.0,Charitable company,Makes Grants To Organisations,The Advancement Of Health Or Saving Of Lives,The General Public/mankind,"Barts Charity brings brilliant ideas, ground-breaking research and transformational healthcare to life in East London. Together with our partners we make better healthcare possible, funding brilliant ideas and ground-breaking research to transform lives. We invest in inspiring people and projects that have the greatest impact on the health and lives of local people.","THE COMPANY’S OBJECTS ARE RESTRICTED SPECIFICALLY TO THOSE CHARITABLE PURPOSES STATED IN SECTIONS 220(3) AND 220(5) OF, AND PARAGRAPH 10(1) OF SCHEDULE 4 TO, THE NHS ACT, NAMELY FOR SUCH PURPOSES RELATING TO
1. HOSPITAL SERVICES (INCLUDING RESEARCH),
2. THE HEALTH SERVICE INCLUDING ANY PART OF THE HEALTH SERVICE ASSOCIATED WITH ANY HOSPITAL,
3. THE NHS TRUST (INCLUDING THE PURPOSES OF ANY SPECIFIC HOSPITAL OR OTHER ESTABLISHMENT OR FACILITY AT OR FROM WHICH THE SERVICES ARE PROVIDED BY THE NHS TRUST)",False,Major,Dormant,The Advancement Of Health Or Saving Of Lives
15,215087,PARMITER'S ALMSHOUSE AND PENSION CHARITY,"6 TRULL FARM BUILDINGS, TETBURY, GLOUCESTERSHIRE",GL8 8SQ,South Cotswolds,01285841900,info@parmitersalmshouseandpensioncharity.org.uk,www.parmitersalmshouseandpensioncharity.org.uk,31/03/2025,119988.0,129041.0,Other,Provides Other Finance,Accommodation/housing,"Elderly/old People, Other Defined Groups","Provision of almshouse accommodation for beneficiaries in Bethnal Green, London E2, situated in Clacton Essex and the provision of a bi-annual pension and at least four annual social events to its pensioners.","THE OBJECTS OF THE CHARITY ARE:
	(1)	(A)	 THE PROVISION OF HOUSING ACCOMMODATION FOR PERSONS WHO:
	          (I) 	ARE IN NEED, HARDSHIP OR DISTRESS; AND
	              (II)	ARE RESIDENT IN THE AREA OF BENEFIT. 
	(B)  	SUCH CHARITABLE PURPOSES FOR THE BENEFIT OF THE RESIDENTS AS THE TRUSTEES DECIDE.
(2)	THE RELIEF OF PERSONS RESIDENT IN THE AREA OF BENEFIT WHO ARE IN NEED, HARDSHIP OR DISTRESS BY MAKING GRANTS OF MONEY TO THEM INCLUDING GRANTING PENSIONS. 
(3)	THE TRUSTEE MAY APPLY PERMANENT ENDOWMENT FOR THE PURCHASE OF FREEHOLD PROPERTY TO BE APPROPRIATED AND USED AS ALMSHOUSES, ADMINISTERED AND MANAGED IN ACCORDANCE WITH THE PROVISIONS IN THE SCHEDULE TO THIS SCHEME.",False,Medium,Dormant,Accommodation/housing
16,215542,CHARITY OF ALDERMAN JAMES HICKSON,"BREWERS' HALL, ALDERMANBURY SQUARE, LONDON",EC2V 7HR,Cities of London and Westminster,02076001801,Not available,www.brewershall.co.uk,31/12/2024,95786.0,101168.0,Other,"Makes Grants To Individuals, Makes Grants To Organisations, Provides Buildings/facilities/open Space","General Charitable Purposes, The Prevention Or Relief Of Poverty","Children/young People, Elderly/old People",Upkeep of Almshouses in South Mimms (3/13ths of net income) and grant distribution (10/13ths of net income) to the Aldgate and Allhallows Foundation (charity registration 312500),"1) THREE THIRTEENTHS TOWARDS THE UPKEEP OF THE ALMSHOUSE CHARITY.  2) TEN THIRTEENTHS TO THE TRUSTEES FOR THE TIME BEING OF THE CHARITY CALLED THE ALDGATE AND ALLHALLOWS BARKING EXHIBITION FOUNDATION, IN THE CITY OF LONDON AND THE LONDON BOROUGH OF TOWER HAMLETS, TO BE APPLIED FOR THE PURPOSE OF THAT CHARITY.",False,Small,Dormant,The Prevention Or Relief Of Poverty
17,215543,DAME ALICE OWEN'S ELEEMOSYNARY CHARITIES,"BREWERS' HALL, ALDERMANBURY SQUARE, LONDON",EC2V 7HR,Cities of London and Westminster,02076001801,liverysecretary@brewershall.co.uk,www.brewershall.co.uk,31/12/2024,8163.0,7948.0,Trust,"Makes Grants To Individuals, Makes Grants To Organisations",The Prevention Or Relief Of Poverty,Elderly/old People,"The provision of grants, items and services to elderly individuals in need and/or charities or organisations working to prevent or relieve poverty amongst the elderly who have lived in the Parishes of St.Mary, Islington or St. James, Clerkenwell, Christchurch or Spitalfields.","THE PREVENTION OR RELIEF OF POVERTY IN THE PARISHES OF ST MARY ISLINGTON, ST JAMES CLERKENWELL AND CHRISTCHURCH SPITALFIELDS BY PROVIDING GRANTS, ITEMS AND SERVICES TO ELDERLY INDIVIDUALS IN NEED AND/OR CHARITIES OR ORGANISATIONS WORKING TO PREVENT OR RELIEVE POVERTY AMONGST THE ELDERLY.",False,Micro,Dormant,The Prevention Or Relief Of Poverty
18,222262,THE ANNIE MACPHERSON HOME OF INDUSTRY (INCORPORATED),"BETHNAL GREEN MISSION CHURCH, 305 CAMBRIDGE HEATH ROAD, LONDON",E2 9LH,Bethnal Green and Stepney,02077294286,info@bgmc.org.uk,www.bethnalgreenmissionchurch.co.uk,31/12/2024,329953.0,300970.0,Charitable company,"Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Other Charitable Activities","General Charitable Purposes, Education/training, The Prevention Or Relief Of Poverty, Religious Activities, Amateur Sport, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity, Recreation","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, The General Public/mankind","As a church and charity, we seek to engage in long term, relational and innovative work which seeks to contribute to the personal, spiritual and social transformation and well-being of people living and working in Tower Hamlets, East London. We aim to support and empower people living in challenging and difficult circumstances to reach their full potential.","TO EDUCATE RELIGIOUSLY AND ACCORDING TO CHRISTIAN PROTESTANT AND EVANGELICAL TEACHING OF THE HOLY SCRIPTURES AND TO FEED,CLOTHE,MAINTAIN,TEACH,TRAIN,TREAT MEDICALLY AND PLACE OUT IN LIFE THE DESTITUTE POOR AND NEEDY.",True,Medium,Dormant,Human Rights/religious Or Racial Harmony/equality Or Diversity
19,227891,THE PSYCHIATRIC REHABILITATION ASSOCIATION,"THE DARNLEY CENTRE, 1A DARNLEY ROAD, LONDON",E9 6QH,Hackney South and Shoreditch,02089853570,Not available,Not available,31/03/2025,47651.0,305085.0,Other,"Makes Grants To Organisations, Provides Buildings/facilities/open Space","The Advancement Of Health Or Saving Of Lives, Disability, Economic/community Development/employment",People With Disabilities,The association aims to improve attitudes towards mental ill health and promotes practical measures and research for preventing and combating mental distress.,"TO PROMOTE THE REHABILITATION OF THE MENTALLY SICK ON THEIR RETURN TO HOMES, EMPLOYMENT AND SOCIETY BY PREPARATORY WORK IN THE HOSPITAL OR OTHER INSTITUTION AND AFTER-CARE IN THE COMMUNITY ALSO THE PROMOTION OF PRACTICAL MEASURES AND RESEARCH FOR THE PREVENTION AND COMBATING OF MENTAL DISTRESS WITHIN THE COMMUNITY AND OTHERWISE AS PROVIDES BY THE TRUST.",False,Small,Dormant,Disability
20,228069,THE ARCHIBALD G BROWN 20TH ANNIVERSARY TRUST,"East London Tabernacle Baptist Church, 15 Burdett Road, LONDON, LONDON, London",E3 4TU,Poplar and Limehouse,02089806125,admin@eltbaptistchurch.org,www.eltbaptistchurch.org,31/12/2024,1349.0,1950.0,Other,Makes Grants To Individuals,"The Prevention Or Relief Of Poverty, Religious Activities",Other Defined Groups,Relief of financial hardship by the award of grants,"TO RELIEVE EITHER GENERALLY OR INDIVIDUALLY PERSONS BEING MEMBERS OF THE BAPTIST CHURCH WORSHIPPING IN THE EAST LONDON TABERNACLE, BURDETT ROAD, BOW, LONDON E3 AND ARE IN CONDITIONS OF NEED HARDSHIP OR DISTRESS BY MAKING GRANTS OF MONEY OR PROVIDING OR PAYING FOR ITEMS SERVICES OR FACILITIES CALCULATED TO REDUCE THE NEED HARDSHIP OR DISTRESS OF SUCH PERSONS (FOR FURTHER DETAILS SEE SCHEME SEALED 24TH JULY 1984)",True,Micro,Dormant,Religious Activities
21,229227,BARTS AND THE LONDON ALUMNI ASSOCIATION BENEVOLENT FUND,"BATLAA, Development and Alumni Engagement, Queen Mary University of London, Mile End Road, LONDON",E1 4NS,Bethnal Green and Stepney,02078826467,batlaa@qmul.ac.uk,www.qmul.ac.uk/alumni,31/07/2024,49497.0,52823.0,Other,Makes Grants To Individuals,"Education/training, The Prevention Or Relief Of Poverty",Other Defined Groups,"THOSE ENTITLED TO HELP ARE DENOTED AS 'STUDENTS AND FORMER STUDENTS OF MEDICINE AND DENTISTRY WHO ATTEND OR ATTENDED EITHER OF THE FOLLOWING INSTITUTIONS AND THE DEPENDENTS OF SUCH PERSONS: THE LONDON HOSPITAL MEDICAL COLLEGE, THE ST BARTHOLOMEW'S AND THE ROYAL LONDON SCHOOL OF MEDICINE AND DENTISTRY AT QUEEN MARY AND WESTFIELD COLLEGE' (NOW KNOWN AS 'QUEEN MARY UNIVERSITY OF LONDON').","TO RELIEVE GENERAL HARDSHIP OR DISTRESS AMONGST STUDENTS AND FORMER STUDENTS OF MEDICINE AND DENTISTRY WHO ATTEND OR ATTENDED EITHER OF THE FOLLOWING INSTITUTIONS, AND DEPENDANTS OF SUCH PERSONS: THE LONDON HOSPITAL MEDICAL COLLEGE, THE ST BARTHOLOMEW'S AND THE ROYAL LONDON SCHOOL OF MEDICINE AND DENTISTRY IN THE QUEEN MARY AND WESTFIELD COLLEGE, UNIVERSITY OF LONDON",True,Small,Dormant,The Prevention Or Relief Of Poverty
22,232981,QUEEN ADELAIDE'S CHARITY,"37 KENILWORTH ROAD, LONDON",E3 5RH,Stratford and Bow,02089816612,Not available,Not available,30/09/2024,9818.0,11990.0,Other,"Makes Grants To Individuals, Makes Grants To Organisations",The Prevention Or Relief Of Poverty,Other Defined Groups,To make grants to the poor sick of Bethnal Green,TO APPLY THE INCOME OF THE CHARITY FOR THE BENEFIT OF SICK POOR PERSONS IN BETHNAL GREEN.,True,Micro,Dormant,The Prevention Or Relief Of Poverty
23,241422,THE POOR'S LAND,"ST. MARGARETS HOUSE SETTLEMENT, 19 OLD FORD ROAD, LONDON",E2 9PJ,Bethnal Green and Stepney,07926259402,TONYHARDIE8888@GMAIL.COM,Not available,31/12/2024,0.0,30000.0,Other,"Makes Grants To Individuals, Makes Grants To Organisations",General Charitable Purposes,Elderly/old People,General charitable purposes,INCOME TO BE APPLIED IN THE PROVISION OF PENSIONS FOR POOR PERSONS OF GOOD CHARACTER AND FOR THE GENERAL BENEFIT OF THE POOR. (SEE CLAUSE 36 OF SCHEME FOR DETAILS).,True,,Dormant,General Charitable Purposes
24,250130,STEPNEY RELIEF IN NEED CHARITY,"167-169 Great Portland Street, London",W1W 5PF,Cities of London and Westminster,0300 302 0187,info@stepneyreliefinneed.org.uk,stepneyreliefinneed.org.uk,30/06/2024,22807.0,27649.0,Other,Makes Grants To Individuals,"General Charitable Purposes, Education/training, Disability, The Prevention Or Relief Of Poverty","Children/young People, Elderly/old People, People With Disabilities",The Trustees will consider grants to individuals who reside in the old Metropolitan Borough of Stepney,"RELIEVING EITHER GENERALLY OR INDIVIDUALLY PERSONS RESIDENT IN THE AREA OF BENEFIT WHO ARE IN CONDITIONS OF NEED, HARDSHIP OR DISTRESS.",False,Small,Dormant,Disability
25,250500,THE FERN STREET SETTLEMENT,"Fern Street, London",E3 3PS,Poplar and Limehouse,02079871949,fernstreet@allhallowsbow.org.uk,Not available,30/09/2024,15659.0,22857.0,Other,"Makes Grants To Individuals, Makes Grants To Organisations, Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, The Prevention Or Relief Of Poverty","Children/young People, Elderly/old People, People With Disabilities, The General Public/mankind","The object of the charity is to provide for the material and moral needs of persons resident in Fern Street and its neighbourhood, especially in conditions of need, hardship, or distress. The Settlement has a modern building currently used as a part of a joint project with All Hallows Bow Church.",TO PROVIDE FOR THE MATERIAL AND MORAL NEEDS OF PERSONS RESIDENT IN FERN STREET BROMLEY-BY-BOW AND THE NEIGHBOURHOOD THEREOF WHO ARE IN CONDITIONS OF NEED HARDSHIP OR DISTRESS.,True,Small,Dormant,The Prevention Or Relief Of Poverty
26,251776,ST GEORGE IN THE EAST PARISH CHARITY,"16 Cannon Street Road, London",E1 0BH,Bethnal Green and Stepney,02074811345,office@stgeorgeintheeast.org,Not available,31/12/2024,0.0,0.0,Other,"Makes Grants To Individuals, Makes Grants To Organisations",The Prevention Or Relief Of Poverty,Children/young People,helps those in dire need and distress,FOR THE GENERAL BENEFIT OF THE POOR OF THE ECCLESIASTICAL PARISHES OF ST. GEORGE IN THE EAST WITH CHRIST CHURCH AND ST. JOHN,True,,Dormant,The Prevention Or Relief Of Poverty
27,252700,CHARITY OF MARY BASTOW,"ST DUNSTAN'S RECTORY, RECTORY SQUARE, STEPNEY, LONDON",E1 3NQ,Bethnal Green and Stepney,02077901920,Not available,www.stdunstanstepney.com,31/12/2024,173.0,60.0,Other,Makes Grants To Individuals,Religious Activities,Other Defined Groups,Religious charity making grants to individuals in the Tower Hamlets area,"PROVISION OF THE STIPEND OF ONE OF THE ASSISTANT CURATES OF ST PHILIP, STEPNEY.",True,Micro,Dormant,Religious Activities
