,LSOA code (2021),LSOA name (2021),Local Authority District code (2024),Local Authority District name (2024),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Children Index (IDACI) Score (rate),Income Deprivation Affecting Children Index (IDACI) Rank (where 1 is most deprived),Income Deprivation Affecting Children Index (IDACI) Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Older People (IDAOPI) Score (rate),Income Deprivation Affecting Older People (IDAOPI) Rank (where 1 is most deprived),Income Deprivation Affecting Older People (IDAOPI) Decile (where 1 is most deprived 10% of LSOAs),Children and Young People Sub-domain Score,Children and Young People Sub-domain Rank (where 1 is most deprived),Children and Young People Sub-domain Decile (where 1 is most deprived 10% of LSO,Adult Skills Sub-domain Score,Adult Skills Sub-domain Rank (where 1 is most deprived),Adult Skills Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Geographical Barriers Sub-domain Score,Geographical Barriers Sub-domain Rank (where 1 is most deprived),Geographical Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Wider Barriers Sub-domain Score,Wider Barriers Sub-domain Rank (where 1 is most deprived),Wider Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Indoors Sub-domain Score,Indoors Sub-domain Rank (where 1 is most deprived),Indoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Outdoors Sub-domain Score,Outdoors Sub-domain Rank (where 1 is most deprived),Outdoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Total population: mid 2022,Dependent Children aged 0-15: mid 2022,Older population aged 60 and over: mid 2022,Working age population 18-66 (for use with Employment Deprivation Domain): mid 2022
4005,E01004208,Tower Hamlets 013C,E09000030,Tower Hamlets,30.764,7919,3,0.326,8301,3,0.109,17105,6,5.775,27318,9,0.326,11862,4,1.587,994,1,36.233,3380,2,46.817,2923,1,0.874,381,1,0.674,589,1,-1.118,30445,10,0.184,22475,7,3.228,33665,10,6.028,1027,1,0.24,11354,4,2.513,22,1,2093,251,102,1784
4006,E01004209,Tower Hamlets 011B,E09000030,Tower Hamlets,48.711,2588,1,0.599,893,1,0.225,5026,2,25.547,11083,4,0.853,5944,2,0.714,6854,3,38.226,2672,1,49.823,2274,1,0.844,548,1,0.869,103,1,-1.465,32320,10,0.379,3430,2,3.451,33647,10,6.309,794,1,0.413,8736,3,2.301,97,1,1396,344,113,943
4007,E01004211,Tower Hamlets 013D,E09000030,Tower Hamlets,34.692,6290,2,0.34,7633,3,0.137,12928,4,9.189,23524,7,0.319,11951,4,1.358,1815,1,36.934,3135,1,63.516,603,1,0.741,1616,1,0.877,96,1,-0.447,23215,7,0.189,21793,7,2.914,33692,10,6.135,939,1,0.824,3795,2,2.666,8,1,1617,222,123,1320
4008,E01004212,Tower Hamlets 011D,E09000030,Tower Hamlets,30.507,8034,3,0.421,4639,2,0.119,15336,5,12.824,20031,6,0.221,13221,4,1.21,2605,1,31.973,5421,2,34.641,7045,3,0.963,129,1,0.641,791,1,-0.682,26315,8,0.248,13889,5,3.669,33623,10,5.375,1688,1,-0.282,21749,7,2.195,178,1,2387,384,126,1898
4009,E01004214,Tower Hamlets 030A,E09000030,Tower Hamlets,52.684,1919,1,0.73,129,1,0.257,3378,2,31.042,8515,3,0.853,5940,2,0.23,13352,4,46.035,809,1,21.057,14556,5,0.994,50,1,0.754,287,1,0.061,15530,5,0.359,4483,2,12.088,32093,10,7.535,215,1,-0.207,20145,6,0.801,4842,2,1655,359,238,1109
4010,E01004216,Tower Hamlets 030B,E09000030,Tower Hamlets,21.109,13837,5,0.317,8689,3,0.116,15819,5,10.815,21916,7,0.195,13618,5,-0.334,21581,7,34.848,3956,2,13.084,20790,7,0.554,6122,2,0.498,2514,1,-0.199,19441,6,0.184,22525,7,13.421,31739,10,5.716,1314,1,-0.587,27871,9,0.534,7536,3,1857,336,201,1360
4011,E01004217,Tower Hamlets 030C,E09000030,Tower Hamlets,26.389,10251,4,0.293,9914,3,0.137,12878,4,16.129,17214,6,0.127,14542,5,0.921,4781,2,37.13,3064,1,21.615,14161,5,0.427,10842,4,0.418,4257,2,-0.191,19317,6,0.246,14117,5,11.91,32149,10,6.086,980,1,-0.43,24883,8,1.151,2564,1,2219,407,356,1538
4012,E01004218,Tower Hamlets 030D,E09000030,Tower Hamlets,16.025,18216,6,0.232,13397,4,0.099,18985,6,6.022,27061,9,-0.716,26557,8,-0.43,22934,7,37.046,3106,1,16.663,17790,6,0.46,9540,3,0.17,15224,5,-0.672,26202,8,0.164,25558,8,13.069,31819,10,6.057,1005,1,-0.416,24576,8,0.687,5897,2,1958,314,265,1463
4013,E01004219,Tower Hamlets 035B,E09000030,Tower Hamlets,29.952,8309,3,0.445,3893,2,0.123,14834,5,14.949,18195,6,0.225,13171,4,0.805,5845,2,25.999,9870,3,41.394,4450,2,0.771,1185,1,0.556,1643,1,-0.221,19763,6,0.236,15334,5,8.824,32864,10,4.317,3220,1,-0.011,15958,5,2.468,30,1,2846,630,144,2069
4014,E01004221,Tower Hamlets 036A,E09000030,Tower Hamlets,29.445,8544,3,0.362,6734,2,0.126,14334,5,14.169,18824,6,0.6,8524,3,0.381,11178,4,42.984,1395,1,28.503,10095,3,0.631,3881,2,0.439,3732,2,-0.095,17857,6,0.214,18201,6,10.209,32572,10,6.986,402,1,-0.323,22624,7,1.668,936,1,1943,363,199,1421
4015,E01004222,Tower Hamlets 001A,E09000030,Tower Hamlets,37.465,5303,2,0.47,3239,1,0.233,4614,2,27.436,10156,4,0.66,7861,3,0.735,6604,2,24.529,11405,4,27.031,10922,4,0.683,2675,1,0.595,1173,1,0.044,15787,5,0.333,6190,2,8.593,32905,10,4.017,3714,2,-0.234,20712,7,1.397,1645,1,2789,508,462,1926
4016,E01004223,Tower Hamlets 001B,E09000030,Tower Hamlets,35.266,6074,2,0.451,3738,2,0.219,5409,2,19.206,14942,5,0.635,8142,3,0.662,7467,3,25.565,10322,4,31.665,8481,3,0.641,3635,2,0.5,2481,1,-0.141,18556,6,0.274,11146,4,10.277,32550,10,4.201,3397,2,-0.171,19368,6,1.724,801,1,2118,422,395,1400
4017,E01004226,Tower Hamlets 001D,E09000030,Tower Hamlets,31.751,7482,3,0.439,4108,2,0.162,10046,3,19.922,14433,5,0.665,7810,3,0.788,6013,2,24.584,11340,4,26.975,10958,4,0.7,2346,1,0.596,1160,1,0.21,13396,4,0.243,14507,5,7.684,33092,10,4.044,3671,2,-0.171,19369,6,1.29,2010,1,2456,520,181,1787
4018,E01004228,Tower Hamlets 003A,E09000030,Tower Hamlets,19.842,14838,5,0.231,13474,4,0.111,16667,5,7.141,25777,8,0.25,12821,4,0.251,13036,4,22.324,14018,5,40.317,4814,2,0.387,12548,4,0.336,6749,2,-0.546,24607,8,0.17,24650,8,7.37,33161,10,3.593,4554,2,0.319,10167,4,1.602,1081,1,2059,286,326,1520
4019,E01004229,Tower Hamlets 004C,E09000030,Tower Hamlets,26.778,10007,3,0.369,6466,2,0.158,10427,4,14.886,18243,6,0.247,12868,4,0.383,11138,4,24.645,11273,4,33.918,7389,3,0.662,3116,1,0.504,2412,1,-0.516,24184,8,0.26,12573,4,7.707,33087,10,4.053,3650,2,-0.195,19891,6,1.96,402,1,1474,246,153,1122
4020,E01004230,Tower Hamlets 003B,E09000030,Tower Hamlets,27.27,9721,3,0.366,6583,2,0.147,11712,4,13.411,19500,6,0.151,14206,5,0.397,10950,4,25.653,10212,4,44.252,3592,2,0.682,2695,1,0.413,4346,2,-0.403,22603,7,0.235,15370,5,6.88,33255,10,4.276,3288,1,0.367,9417,3,1.844,580,1,2296,372,337,1653
4021,E01004231,Tower Hamlets 004D,E09000030,Tower Hamlets,38.278,5070,2,0.465,3347,1,0.192,7241,3,21.163,13578,5,1.017,4485,2,1.074,3485,2,28.295,7885,3,30.313,9111,3,0.732,1758,1,0.746,310,1,-0.563,24821,8,0.323,6909,3,7.165,33204,10,4.737,2527,1,-0.478,25855,8,2.026,339,1,1611,292,159,1190
4022,E01004232,Tower Hamlets 003C,E09000030,Tower Hamlets,20.741,14122,5,0.202,15530,5,0.103,18100,6,4.771,28505,9,-0.463,23218,7,0.95,4512,2,24.776,11127,4,50.497,2147,1,0.295,17045,6,0.277,9082,3,-0.763,27240,9,0.15,27460,9,5.819,33418,10,4.104,3564,2,0.426,8526,3,2.34,74,1,1849,345,230,1347
4023,E01004233,Tower Hamlets 003D,E09000030,Tower Hamlets,29.1,8733,3,0.442,3986,2,0.17,9196,3,20.759,13851,5,0.44,10408,4,0.022,16456,5,27.094,8858,3,17.223,17334,6,0.814,761,1,0.655,696,1,-0.338,21568,7,0.305,8297,3,8.055,33027,10,4.531,2871,1,-0.472,25755,8,0.804,4807,2,2258,347,302,1668
4024,E01004234,Tower Hamlets 003E,E09000030,Tower Hamlets,17.914,16434,5,0.178,17429,6,0.083,22344,7,3.996,29404,9,-0.71,26503,8,0.684,7223,3,25.136,10726,4,51.652,1941,1,0.29,17304,6,0.188,14033,5,-1.256,31326,10,0.164,25565,8,7.959,33043,10,4.151,3484,2,0.543,6973,3,2.137,238,1,2574,451,340,1907
4025,E01004235,Tower Hamlets 008A,E09000030,Tower Hamlets,50.465,2295,1,0.812,22,1,0.243,4072,2,28.059,9836,3,0.783,6624,2,0.26,12910,4,29.71,6772,3,38.533,5468,2,0.995,49,1,0.815,155,1,-0.69,26418,8,0.38,3354,1,7.681,33093,10,4.977,2192,1,-0.14,18669,6,2.387,58,1,1394,332,155,963
4026,E01004236,Tower Hamlets 008B,E09000030,Tower Hamlets,50.945,2199,1,0.705,193,1,0.249,3760,2,33.956,7427,3,0.95,5045,2,0.514,9327,3,29.285,7084,3,35.064,6879,3,0.994,59,1,0.799,179,1,-0.444,23162,7,0.409,2145,1,8.63,32898,10,4.907,2307,1,0.014,15440,5,1.712,830,1,1555,350,167,1084
4027,E01004237,Tower Hamlets 008C,E09000030,Tower Hamlets,38.261,5076,2,0.544,1688,1,0.184,7919,3,16.399,16998,6,0.694,7507,3,0.776,6159,2,31.332,5786,2,31.168,8710,3,0.791,962,1,0.532,1973,1,0.101,14956,5,0.217,17807,6,8.502,32926,10,5.222,1857,1,-0.389,24056,8,1.994,372,1,1602,404,128,1087
4028,E01004239,Tower Hamlets 008E,E09000030,Tower Hamlets,38.416,5020,2,0.432,4297,2,0.215,5647,2,35.988,6695,2,0.452,10263,4,0.4,10901,4,40.874,1880,1,29.817,9370,3,0.48,8774,3,0.573,1414,1,-0.487,23788,8,0.423,1670,1,8.478,32931,10,6.68,561,1,-0.376,23754,8,1.846,577,1,1783,428,246,1158
4029,E01004240,Tower Hamlets 012A,E09000030,Tower Hamlets,39.831,4624,2,0.542,1727,1,0.194,7076,3,29.205,9314,3,0.337,11705,4,0.393,11021,4,40.674,1942,1,29.021,9830,3,0.87,394,1,0.556,1644,1,-0.443,23155,7,0.378,3469,2,10.236,32562,10,6.635,590,1,-0.083,17490,6,1.333,1858,1,1756,359,225,1179
4030,E01004241,Tower Hamlets 012B,E09000030,Tower Hamlets,48.793,2576,1,0.643,482,1,0.247,3872,2,26.885,10396,4,0.97,4872,2,0.31,12162,4,41.645,1677,1,22.892,13287,4,0.822,698,1,0.681,559,1,-0.633,25733,8,0.37,3872,2,9.078,32824,10,6.788,499,1,-0.228,20574,7,0.996,3418,2,1750,431,211,1125
4031,E01004243,Tower Hamlets 020A,E09000030,Tower Hamlets,35.878,5839,2,0.473,3170,1,0.184,7980,3,26.492,10589,4,0.587,8664,3,0.163,14379,5,35.006,3889,2,33.979,7361,3,0.683,2689,1,0.673,593,1,-0.285,20732,7,0.35,5076,2,10.238,32561,10,5.778,1247,1,-0.069,17187,6,1.761,725,1,1694,447,117,1085
4032,E01004244,Tower Hamlets 020B,E09000030,Tower Hamlets,44.423,3483,2,0.513,2232,1,0.239,4310,2,24.99,11374,4,1.03,4386,2,0.929,4701,2,36.495,3287,1,31.459,8593,3,0.71,2162,1,0.784,210,1,-0.202,19497,6,0.332,6235,2,7.12,33216,10,6.046,1013,1,-0.142,18720,6,1.667,942,1,2056,345,276,1484
4033,E01004245,Tower Hamlets 018A,E09000030,Tower Hamlets,28.405,9098,3,0.44,4065,2,0.143,12089,4,16.148,17196,6,0.382,11132,4,0.347,11642,4,29.49,6932,3,21.383,14339,5,0.712,2124,1,0.749,303,1,-0.15,18689,6,0.242,14571,5,11.684,32204,10,4.899,2316,1,-0.607,28205,9,1.324,1890,1,3018,632,153,2236
4034,E01004247,Tower Hamlets 020C,E09000030,Tower Hamlets,43.751,3648,2,0.568,1329,1,0.209,6064,2,27.262,10238,4,0.839,6064,2,0.866,5258,2,35.74,3571,2,29.708,9430,3,0.811,785,1,0.638,810,1,-0.289,20793,7,0.356,4704,2,7.649,33101,10,5.905,1117,1,-0.295,22029,7,1.728,788,1,2695,649,238,1830
4035,E01004248,Tower Hamlets 018C,E09000030,Tower Hamlets,50.906,2206,1,0.644,471,1,0.24,4228,2,28.332,9701,3,1.389,2170,1,0.506,9445,3,35.399,3708,2,32.045,8284,3,0.797,908,1,0.977,18,1,-0.377,22234,7,0.369,3949,2,10.636,32464,10,5.832,1195,1,0.095,13890,5,1.278,2061,1,1876,520,117,1248
4036,E01004249,Tower Hamlets 018D,E09000030,Tower Hamlets,45.539,3256,1,0.584,1096,1,0.242,4127,2,31.901,8190,3,0.313,12027,4,0.638,7788,3,40.54,1976,1,32.262,8183,3,0.769,1208,1,0.619,964,1,-0.139,18510,6,0.379,3410,2,10.234,32564,10,6.615,602,1,0.118,13458,4,1.247,2163,1,2421,589,265,1645
4037,E01004251,Tower Hamlets 023A,E09000030,Tower Hamlets,35.438,6008,2,0.493,2678,1,0.162,10039,3,16.587,16844,5,0.37,11290,4,0.882,5131,2,37.424,2956,1,29.785,9392,3,0.715,2063,1,0.646,758,1,-0.702,26549,8,0.288,9800,3,7.434,33145,10,6.183,903,1,-0.201,20028,6,1.606,1070,1,2660,653,215,1843
4038,E01004255,Tower Hamlets 023C,E09000030,Tower Hamlets,40.668,4417,2,0.514,2211,1,0.201,6590,2,19.341,14836,5,0.852,5946,2,0.858,5334,2,35.447,3687,2,34.353,7172,3,0.831,634,1,0.86,114,1,-0.937,29001,9,0.323,6948,3,7.132,33212,10,5.874,1152,1,-0.324,22652,7,2.223,147,1,1667,317,163,1229
4039,E01004256,Tower Hamlets 024C,E09000030,Tower Hamlets,46.867,2972,1,0.586,1067,1,0.245,3981,2,27.422,10165,4,0.678,7672,3,0.249,13086,4,40.982,1862,1,42.193,4196,2,0.884,340,1,0.742,319,1,-0.556,24724,8,0.371,3840,2,7.924,33052,10,6.71,548,1,0.154,12818,4,2.128,248,1,1764,378,207,1232
4040,E01004257,Tower Hamlets 024D,E09000030,Tower Hamlets,47.337,2876,1,0.624,628,1,0.214,5697,2,32.022,8141,3,0.677,7692,3,0.656,7542,3,37.491,2931,1,38.143,5630,2,0.956,151,1,0.736,332,1,-0.395,22470,7,0.394,2711,1,8.06,33025,10,6.187,900,1,-0.03,16352,5,2.104,273,1,2290,547,176,1574
4041,E01004258,Tower Hamlets 023D,E09000030,Tower Hamlets,17.571,16769,5,0.234,13324,4,0.089,20921,7,6.548,26453,8,-0.261,20247,6,0.163,14385,5,29.037,7272,3,33.885,7410,3,0.494,8270,3,0.327,7062,3,-0.761,27198,9,0.177,23501,7,9.675,32697,10,4.841,2384,1,0.072,14340,5,1.492,1342,1,1490,177,231,1145
4042,E01004259,Tower Hamlets 007A,E09000030,Tower Hamlets,28.552,9011,3,0.35,7200,3,0.131,13638,5,7.255,25643,8,0.299,12206,4,0.579,8518,3,33.462,4585,2,49.07,2417,1,0.628,3956,2,0.377,5380,2,-0.68,26299,8,0.182,22830,7,3.981,33593,10,5.614,1431,1,0.58,6509,2,1.768,707,1,1737,269,163,1360
4043,E01004260,Tower Hamlets 007B,E09000030,Tower Hamlets,40.685,4413,2,0.521,2073,1,0.19,7464,3,23.977,11917,4,1.003,4603,2,0.923,4765,2,31.975,5418,2,30.007,9256,3,0.798,905,1,0.661,656,1,-0.269,20475,7,0.329,6509,2,5.38,33472,10,5.366,1697,1,-0.171,19376,6,1.582,1137,1,1792,373,163,1257
4044,E01004263,Tower Hamlets 007C,E09000030,Tower Hamlets,42.432,3959,2,0.55,1592,1,0.213,5803,2,29.776,9044,3,0.653,7944,3,0.812,5780,2,27.839,8257,3,41.057,4575,2,0.892,303,1,0.58,1338,1,-0.158,18799,6,0.366,4122,2,4.999,33512,10,4.683,2619,1,0.412,8741,3,1.45,1474,1,1404,267,212,964
4045,E01004264,Tower Hamlets 010C,E09000030,Tower Hamlets,47.298,2880,1,0.619,694,1,0.216,5595,2,38.254,5965,2,0.792,6527,2,0.777,6149,2,31.035,5958,2,36.283,6362,2,0.902,274,1,0.774,237,1,-0.533,24411,8,0.44,1249,1,5.266,33488,10,5.207,1878,1,0.209,11850,4,1.444,1496,1,1543,356,135,1046
4046,E01004266,Tower Hamlets 007D,E09000030,Tower Hamlets,29.541,8498,3,0.404,5182,2,0.151,11152,4,10.495,22220,7,0.449,10294,4,0.137,14744,5,33.274,4702,2,39.855,4985,2,0.863,430,1,0.453,3373,1,-0.772,27338,9,0.226,16460,5,5.584,33449,10,5.582,1470,1,0.278,10755,4,1.638,994,1,1419,209,219,1040
4047,E01004267,Tower Hamlets 012D,E09000030,Tower Hamlets,33.138,6878,3,0.408,5054,2,0.17,9216,3,19.813,14511,5,0.577,8782,3,0.856,5353,2,30.726,6160,2,34.117,7289,3,0.705,2238,1,0.762,266,1,0.238,13001,4,0.238,15093,5,8.48,32930,10,5.125,1981,1,-0.411,24487,8,2.361,68,1,2267,367,162,1778
4048,E01004268,Tower Hamlets 012E,E09000030,Tower Hamlets,37.753,5222,2,0.515,2205,1,0.194,7083,3,22.486,12755,4,0.816,6295,2,0.068,15789,5,32.849,4914,2,33.627,7533,3,0.861,447,1,0.775,234,1,-0.743,26972,8,0.342,5596,2,7.3,33176,10,5.491,1558,1,0.026,15208,5,1.562,1179,1,1781,306,185,1352
4049,E01004270,Tower Hamlets 014B,E09000030,Tower Hamlets,24.945,11150,4,0.304,9332,3,0.103,18104,6,8.855,23878,8,0.066,15469,5,0.742,6529,2,33.902,4369,2,42.128,4215,2,0.541,6562,2,0.548,1749,1,-0.869,28346,9,0.213,18368,6,7.185,33197,10,5.653,1382,1,0.112,13594,5,2.205,168,1,2472,396,157,1993
4050,E01004271,Tower Hamlets 014C,E09000030,Tower Hamlets,29.784,8384,3,0.469,3268,1,0.135,13225,4,12.989,19861,6,0.327,11848,4,0.303,12237,4,34.359,4185,2,26.928,10986,4,0.773,1154,1,0.698,481,1,-0.585,25125,8,0.244,14343,5,8.216,32985,10,5.709,1322,1,-0.583,27785,9,1.81,639,1,2461,578,147,1745
4051,E01004272,Tower Hamlets 014D,E09000030,Tower Hamlets,41.976,4069,2,0.575,1219,1,0.197,6883,3,23.659,12081,4,0.666,7797,3,0.682,7231,3,39.522,2262,1,25.386,11881,4,0.809,803,1,0.842,127,1,-0.616,25509,8,0.346,5318,2,8.203,32991,10,6.456,684,1,-0.267,21427,7,1.291,2009,1,2676,646,195,1858
4052,E01004274,Tower Hamlets 031A,E09000030,Tower Hamlets,31.206,7716,3,0.399,5349,2,0.195,7031,3,24.438,11675,4,0.582,8734,3,-0.051,17535,6,33.132,4761,2,17.614,17044,6,0.678,2778,1,0.669,621,1,0.351,11466,4,0.273,11288,4,14.426,31434,10,5.436,1616,1,-0.328,22717,7,0.658,6171,2,1948,375,227,1402
4053,E01004275,Tower Hamlets 031B,E09000030,Tower Hamlets,23.276,12258,4,0.359,6829,3,0.114,16131,5,16.178,17176,6,0.111,14755,5,-0.213,19897,6,30.685,6182,2,26.663,11154,4,0.539,6652,2,0.4,4707,2,-0.175,19064,6,0.245,14244,5,13.393,31748,10,5.061,2079,1,-0.086,17547,6,1.113,2771,1,2636,664,234,1755
4054,E01004276,Tower Hamlets 031C,E09000030,Tower Hamlets,6.238,29477,9,0.085,28167,9,0.033,33000,10,2.632,30998,10,-0.738,26812,8,-0.586,25084,8,24.05,11974,4,17.672,16998,6,0.12,29032,9,0.132,18440,6,-0.744,26986,8,0.064,33476,10,14.249,31501,10,3.832,4081,2,-0.953,32014,10,1.156,2542,1,2030,286,145,1671
