,Charity Number,Charity Name,Charity Address,Charity Postcode,Charity Constituency,Phone,Email,Website,Last Recorded Financial Year,Last Recorded Income,Last Recorded Expenditure,Charity Type,How the charity helps,What the charity does,Who the charity helps,Activities,Charity Objects,TH Postcode,Charity Size Band,Size Band,Primary Focus
21,229227,BARTS AND THE LONDON ALUMNI ASSOCIATION BENEVOLENT FUND,"BATLAA, Development and Alumni Engagement, Queen Mary University of London, Mile End Road, LONDON",E1 4NS,Bethnal Green and Stepney,02078826467,batlaa@qmul.ac.uk,www.qmul.ac.uk/alumni,31/07/2024,49497.0,52823.0,Other,Makes Grants To Individuals,"Education/training, The Prevention Or Relief Of Poverty",Other Defined Groups,"THOSE ENTITLED TO HELP ARE DENOTED AS 'STUDENTS AND FORMER STUDENTS OF MEDICINE AND DENTISTRY WHO ATTEND OR ATTENDED EITHER OF THE FOLLOWING INSTITUTIONS AND THE DEPENDENTS OF SUCH PERSONS: THE LONDON HOSPITAL MEDICAL COLLEGE, THE ST BARTHOLOMEW'S AND THE ROYAL LONDON SCHOOL OF MEDICINE AND DENTISTRY AT QUEEN MARY AND WESTFIELD COLLEGE' (NOW KNOWN AS 'QUEEN MARY UNIVERSITY OF LONDON').","TO RELIEVE GENERAL HARDSHIP OR DISTRESS AMONGST STUDENTS AND FORMER STUDENTS OF MEDICINE AND DENTISTRY WHO ATTEND OR ATTENDED EITHER OF THE FOLLOWING INSTITUTIONS, AND DEPENDANTS OF SUCH PERSONS: THE LONDON HOSPITAL MEDICAL COLLEGE, THE ST BARTHOLOMEW'S AND THE ROYAL LONDON SCHOOL OF MEDICINE AND DENTISTRY IN THE QUEEN MARY AND WESTFIELD COLLEGE, UNIVERSITY OF LONDON",True,Small,No Filing,The Prevention Or Relief Of Poverty
22,232981,QUEEN ADELAIDE'S CHARITY,"37 KENILWORTH ROAD, LONDON",E3 5RH,Stratford and Bow,02089816612,Not available,Not available,30/09/2024,9818.0,11990.0,Other,"Makes Grants To Individuals, Makes Grants To Organisations",The Prevention Or Relief Of Poverty,Other Defined Groups,To make grants to the poor sick of Bethnal Green,TO APPLY THE INCOME OF THE CHARITY FOR THE BENEFIT OF SICK POOR PERSONS IN BETHNAL GREEN.,True,Micro,No Filing,The Prevention Or Relief Of Poverty
25,250500,THE FERN STREET SETTLEMENT,"Fern Street, London",E3 3PS,Poplar and Limehouse,02079871949,fernstreet@allhallowsbow.org.uk,Not available,30/09/2024,15659.0,22857.0,Other,"Makes Grants To Individuals, Makes Grants To Organisations, Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, The Prevention Or Relief Of Poverty","Children/young People, Elderly/old People, People With Disabilities, The General Public/mankind","The object of the charity is to provide for the material and moral needs of persons resident in Fern Street and its neighbourhood, especially in conditions of need, hardship, or distress. The Settlement has a modern building currently used as a part of a joint project with All Hallows Bow Church.",TO PROVIDE FOR THE MATERIAL AND MORAL NEEDS OF PERSONS RESIDENT IN FERN STREET BROMLEY-BY-BOW AND THE NEIGHBOURHOOD THEREOF WHO ARE IN CONDITIONS OF NEED HARDSHIP OR DISTRESS.,True,Small,No Filing,The Prevention Or Relief Of Poverty
27,252700,CHARITY OF MARY BASTOW,"ST DUNSTAN'S RECTORY, RECTORY SQUARE, STEPNEY, LONDON",E1 3NQ,Bethnal Green and Stepney,02077901920,Not available,www.stdunstanstepney.com,31/12/2024,173.0,60.0,Other,Makes Grants To Individuals,Religious Activities,Other Defined Groups,Religious charity making grants to individuals in the Tower Hamlets area,"PROVISION OF THE STIPEND OF ONE OF THE ASSISTANT CURATES OF ST PHILIP, STEPNEY.",True,Micro,No Filing,Religious Activities
28,262480,MISS VAUGHAN'S SPITALFIELDS CHARITY,"45 QUILTER STREET, LONDON",E2 7BS,Bethnal Green and Stepney,02077292790,missvaughancharity@gmail.com,Not available,31/03/2025,1547.0,1345.0,Other,Makes Grants To Individuals,The Prevention Or Relief Of Poverty,The General Public/mankind,"Small grants are made for the relief of poverty in the parishes of Christchurch, Spitalfields, St Matthew, Bethnal Green and St Leonard, Shoreditch.","THE CLOTHING AND SUPPORT OF POOR MECHANICS AND WEAVERS IN SPITALFIELDS UNABLE FROM ILLNESS OR ANY CALAMITY TO WORK. AREA OF BENEFIT - SPITALFIELDS WHICH INCLUDES THE PARISH OF CHRIST CHURCH, MILE END NEW TOWN, IN THE PARISH OF STEPNEY, THE PARISH OF ST MATTHEW, BETHNAL GREEN AND THE PARISH OF ST LEONARD, SHOREDITCH TOGETHER KNOWN AS SPITALFIELDS LONDON.",True,Micro,No Filing,The Prevention Or Relief Of Poverty
30,263813,KINGSLEY TRUST,"Trustees of The Kingsley Trust, Kingsley Hall, Powis Road, Bromley-by-Bow, LONDON",E3 3HJ,Stratford and Bow,07739 277298,Not available,Not available,05/04/2025,2969.0,12000.0,Other,Makes Grants To Organisations,General Charitable Purposes,The General Public/mankind,"Advancement of Christian religion and education through support of Kingsley Hall at Bow, Kingsley Hall at Dagenham, and other charitable work for the general benefit of inhabitants of LB of Tower Hamlets","1) THE ADVANCEMENT OF THE CHRISTIAN RELIGION, THE ADVANCEMENT OF EDUCATION AND OTHER CHARITABLE WORK FOR THE GENERAL BENEFIT OF THE INHABITANTS OF THE LONDON BOROUGH OF TOWER HAMLETS IN SUCH WAYS AS THE TRUSTEES THINK FIT. 2) FOR FURTHERING THE WORK OF THE CHARITY KNOWN AS KINGSLEY HALL, AT DAGENHAM IN THE LONDON BOROUGH OF BARKING.",True,Micro,No Filing,General Charitable Purposes
33,267157,WEAVERS ADVENTURE PLAYGROUND ASSOCIATION,"c/o Oxford House, Derbyshire St, Bethnal Green, Tower Hamlets, LONDON",E2 6HG,Bethnal Green and Stepney,02077291295,weaversad@btconnect.com,www.weavers-adventure-playground.co.uk,31/03/2025,84050.0,80212.0,Other,"Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information","Education/training, Arts/culture/heritage/science, Amateur Sport, Human Rights/religious Or Racial Harmony/equality Or Diversity, Recreation","Children/young People, People With Disabilities, Other Charities Or Voluntary Bodies, The General Public/mankind","TO MANAGE AND RUN AN INCLUSIVE ADVENTURE PLAYGROUND FOR ALL CHILDREN AND YOUNG PEOPLETO PROVIDE OPPORTUNITIES FOR SOCIAL INTERGRATION AND CREATIVE PLAY IN A SAFE SUPERVISED ENVIRONMENT TO PROVIDE WORKSHOPS IN AREAS OF  ART/CRAFT AND SPORTS THAT ENCOURAGES HEALTHY GROWTH OF THE MIND AND BODIES FROM ALL BACKGROUNDS AND CULTURAL GROUPS","THE PROVISION OF FACILITIES FOR RECREATION AND OTHER LEISURE-TIME OCCUPATION FOR CHILDREN RESIDENT IN BETHNAL GREEN BEING FACILITES - (A) OF WHICH SUCH CHILDREN HAVE NEED BY REASON OF THEIR YOUTH OR SOCIAL AND ECONOMIC CIRCUMSTANCES; AND (B) WHICH WILL IMPROVE THE CONDITIONS OF LIFE FOR SUCH CHILDREN BY PROMOTING THEIR PHYSICAL, MENTAL AND SPIRITUAL WELL-BEING.",True,Small,No Filing,Human Rights/religious Or Racial Harmony/equality Or Diversity
35,270570,ALPHA GROVE COMMUNITY TRUST,"ALPHA GROVE COMMUNITY CENTRE, ALPHA GROVE, LONDON",E14 8LH,Poplar and Limehouse,02075381714,Not available,www.alphagrove.org,31/03/2025,102436.0,84554.0,Trust,"Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, Education/training, The Prevention Or Relief Of Poverty, Arts/culture/heritage/science, Amateur Sport, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, The General Public/mankind","Facilities provided at the Alpha Grove Centre:Youth ClubInternet cafeCommunity meetingsComputer trainingSchool holiday programmesLegal advice sessionsPlaygroups","THE PROMOTION OF THE BENEFIT OF THE AREA OF BENEFIT WITHOUT DISTINCTION OF SEX OR OF POLITICAL RELIGIOUS OR OTHER OPINIONS BY ASSOCIATING THE LOCAL AUTHORITIES, VOLUNTARY ORGANISATIONS AND INHABITANTS IN A COMMON EFFORT TO ADVANCE EDUCATION AND TO PROVIDE FACILITIES IN THE INTERESTS OF SOCIAL WELFARE FOR RECREATION AND LEISURE-TIME OCCUPATION WITH THE OBJECT OF IMPROVING THE CONDITIONS OF LIFE FOR THE SAID INHABITANTS.",True,Medium,No Filing,Amateur Sport
40,277069,GLOBE TOWN COMMUNITY ASSOCIATION,"152-158 ROMAN ROAD, LONDON",E2 0RY,Bethnal Green and Stepney,07711350040,lisawing99@aol.co.uk,Not available,31/03/2025,15200.0,105920.0,Charitable company,Provides Buildings/facilities/open Space,General Charitable Purposes,"Children/young People, Elderly/old People, Other Charities Or Voluntary Bodies",Provides and promotes benefit of young and old people in London E2 in a common effort to advance social welfare for recreation and leisure-time occupation with the object of improving the conditions of life of the said inhabitants in E2 (London). Assist and co-operate with other charities.,"(A) TO PROMOTE THE BENEIT OF THE INHABITANTS OF THE STREETS AND ESTATES BOUNDED BY OLD FORD ROAD, LONDON E2, THE GRAND UNION CANAL, THE RAILWAY LINE, AND CAMBRIDGE HEATH ROAD, LONDON E2 AND THE NEIGHBOURHOOD WITHOUT DISTINCTION OF SEX OR OF POLITICAL, RELIGIOUS OR OTHER OPINIONS BY ASSOCIATING THE LOCAL AUTHORITIES, VOLUNTARY ORGANISATIONS AND THE INHABITANTS IN A COMMON EFFORT TO ADVANCE SOCIAL WELFARE FOR RECREATION AND LEISURE-TIME OCCUPATION WITH THE OBJECT OF IMPROVING THE CONDITIONS OF LIFE OF THE SAID INHABITANTS. (B) ESTABLISH OR TO SECURE THE ESTABLISHMENT OF A COMMUNITY CENTRE AND TO MAINTAIN AD MANAGE OR TO CO-OPERATE WITH ANY LOCAL STATUTORY AUTHORITY IN THE MAINTENANCE AND MANAGEMENT OF SUCH A CENTRE FOR ACTIVITIES PROMOTED BY THE ASSOCIATION AND ITS CONSTITUENT BODIES IN FURTHERANCE OF THE ABOVE OBJECT.",True,Small,No Filing,General Charitable Purposes
42,279009,FRIENDS OF THE ROYAL LONDON HOSPITAL (WHITECHAPEL),"65 KNIGHTHEAD POINT, THE QUARTERDECK, LONDON",E14 8SS,Poplar and Limehouse,07732727750,richardhgardner@gmail.com,www.friendsoftheroyallondonhospital.org.uk,30/06/2025,54755.0,37902.0,Other,"Makes Grants To Organisations, Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services",The Advancement Of Health Or Saving Of Lives,"Children/young People, Elderly/old People, People With Disabilities","Relieve patients and former patients of the Royal London Hospital (Whitechapel) who are sick, handicapped or infirm and generally to support the charitable work of the Hospital including related research","TO RELIEVE PATIENTS AND FORMER PATIENTS OF THE LONDON HOSPITAL (WHITECHAPEL) WHO ARE SICK, CONVALESCENT, DISABLED, HANDICAPPED OR INFIRM AND GENERALLY TO SUPPORT THE CHARITABLE WORK OF THE SAID HOSPITAL INCLUDING MEDICAL RESEARCH",True,Small,No Filing,The Advancement Of Health Or Saving Of Lives
43,281289,KINGSLEY HALL COMMUNITY CENTRE LIMITED,"KINGSLEY HALL, POWIS ROAD, LONDON",E3 3HJ,Stratford and Bow,07739277298,Not available,http://www.kingsley-hall.co.uk,31/03/2024,28690.0,115473.0,Charitable company,"Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Acts As An Umbrella Or Resource Body","General Charitable Purposes, Education/training, Arts/culture/heritage/science, Environment/conservation/heritage","Children/young People, Elderly/old People, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, The General Public/mankind","Activities for the local community including many with a  youth focus 6 days of the week particularly concentrating on week day evenings. Also large women's groups of Somali and Bangladeshi ethnic origin, Tai Chi, Ball Room Dance, patchwork, Zumba, and heritage events for all associated with this internationally known centre. See website","(A) TO PROMOTE THE BENEFIT OF THE INHABITANTS OF THE LONDON BOROUGH OF TOWER HAMLETS WITHOUT REFERENCE TO SEX OR RACE OR POLITICAL, RELIGIOUS OR OTHER OPINIONS BY CO-OPERATING WITH LOCAL AUTHORITIES, VOLUNTARY ORGANISATIONS AND INHABITANTS IN A COMMON EFFORT TO ADVANCE EDUCATION AND TO PROVIDE FACILITIES IN THE INTEREST OF SOCIAL WELFARE FOR RECREATION AND LEISURE TIME OCCUPATION WITH THE OBJECT OF IMPROVING THE CONDITIONS OF LIFE FOR THE SAID INHABITANTS. (B) TO ESTABLISH OR TO SECURE THE ESTABLISHMENT OF A COMMUNITY CENTRE AND TO MAINTAIN AND MANAGE OR TO CO-OPERATE WITH ANY LOCAL OR STATUTORY AUTHORITY IN THE MAINTENANCE OF SUCH A CENTRE FOR ACTIVITIES PROMOTED BY THE CENTRE AND ITS CONSTITUENT BODIES IN THE FURTHERANCE OF THE ABOVE OBJECTS.",True,Small,No Filing,Environment/conservation/heritage
44,281576,THE ROLAND PHILIPPS FUND FOR SCOUTS,"THE ROLAND PHILIPPS FUND FOR SCOUTS, 65 Copley Street, LONDON",E1 3DF,Bethnal Green and Stepney,07956168068,kevin.bridge@eastlondonscouts.org.uk,http://www.eastlondonscouts.org.uk/,31/12/2023,31540.0,45832.0,Other,"Provides Buildings/facilities/open Space, Other Charitable Activities","General Charitable Purposes, Education/training",Children/young People,"We give young people skills for life. We actively engage and support young people in their personal development, empowering them to make a positive contribution to society. We are open to all young people aged 4 -24 in the London Boroughs of Hackney and Tower Hamlets.","THE MANAGING TRUSTEES OF THE FUND CHARITY SHALL APPLY THE CLEAR YEARLY INCOME THEREOF IN THE FOLLOWING ORDER OF PRIORITY: (1) IN OR TOWARDS THE MAINTENANCE AND REPAIR OF ANY LAND OR BUILDINGS BELONGING TO THE CENTRE CHARITY (2) IN INSTRUCTING BOYS OF ALL CLASSES IN THE PRINCIPLES OF DISCIPLINE, LOYALTY AND GOOD CITIZENSHIP THROUGH THE SCOUT MOVEMENT IN THE AREA OF THE SCOUT DISTRICT OF TOWER HAMLETS IN SUCH WAYS AS THE MANAGING TRUSTEES THINK FIT AND OTHERWISE FOR THE BENEFIT OF THE SCOUT MOVEMENT IN THE SAID AREA.",True,Small,No Filing,General Charitable Purposes
47,284953,THE COMPASS POINT TRUST,"TOWER HAMLETS COMMUNITY CHURCH, 117 RICARDO STREET, LONDON",E14 6EQ,Poplar and Limehouse,02075157471,Not available,Not available,30/09/2024,7651.0,15412.0,Other,"Makes Grants To Individuals, Makes Grants To Organisations, Provides Buildings/facilities/open Space","The Prevention Or Relief Of Poverty, Accommodation/housing, Religious Activities",Other Defined Groups,To advance the Christian religion in the United Kingdom of Great Britain and Northern Ireland and to relieve poverty.,"TO ADVANCE THE CHRISTIAN RELIGION IN THE UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND AND TO RELIEVE POVERTY, AND IN FURTHERANCE OF THESE OBJECTS BUT NOT FURTHER OR OTHERWISE TO PROVIDE MISSIONS AND ACCOMMODATION FOR CHURCH LEADERS AND CHURCH WORKERS ENGAGED IN MISSIONARY WORK AND TO ALL SUCH OTHER LAWFUL THINGS AS SHALL FURTHER THE SAID OBJECTS.",True,Micro,No Filing,Accommodation/housing
48,285585,HELP-IN-NEED ASSOCIATION,"STUDENTS UNION BUILDING, ST BARTHOLOMEWS AND ROYAL LONDON, SCHOOL OF MEDICINE AND DENTISTRY, STEPNEY WAY, WHITECHAPEL LONDON",E1 2AD,Bethnal Green and Stepney,Not available,Not available,http://blhina.org/,30/04/2012,7790.0,8015.0,Other,"Makes Grants To Individuals, Makes Grants To Organisations, Acts As An Umbrella Or Resource Body","The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Accommodation/housing, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, Other Defined Groups","We are a registered charity run by students at Barts and the London School of Medicine and Dentistry. We receive applications for grants from recognised bodies on behalf of disadvantaged and deprived people living in the East London (Tower Hamlets) area, and with the 'charity begins at home' ethos, meet monthly to discuss how much to donate and follow-up past applications",THE RELEIF OF SICKNESS IN THE TOWER HAMLETS HEALTH DISTRICT.,True,Micro,No Filing,Accommodation/housing
49,285707,TOWER HAMLETS COMMUNITY CHURCH,"TOWER HAMLETS COMMUNITY CHURCH, 117 RICARDO STREET, LONDON",E14 6EQ,Poplar and Limehouse,02075157471,Not available,www.thcc.org.uk,30/09/2024,283787.0,251154.0,Charitable company,"Makes Grants To Individuals, Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services","General Charitable Purposes, The Prevention Or Relief Of Poverty, Religious Activities",The General Public/mankind,THE PROCLAMATION AND FURTHERNCE OF THE CHRISTIAN FAITH PRIMARILY IN THE LONDON BOROUGH OF TOWER HAMLETS BUT ELSEWHERE IN THE WORLD AT THE DISCRETION OF THE ASSOICATION.,"THE OBJECTS OF THE COMPANY ARE FOR THE BENEFIT OF THE PUBLIC (""THE OBJECTS""): 
3.1 TO ADVANCE THE CHRISTIAN FAITH IN ACCORDANCE WITH THE STATEMENT IN SUCH WAYS AND IN SUCH PARTS OF THE UNITED KINGDOM OR THE WORLD AS THE DIRECTORS FROM TIME TO TIME MAY THINK FIT; 
3.2 TO RELIEVE SICKNESS AND FINANCIAL HARDSHIP AND TO PROMOTE AND PRESERVE GOOD HEALTH BY THE PROVISION OF FUNDS, GOODS OR SERVICES OF ANY KIND INCLUDING THROUGH THE PROVISION OF COUNSELLING AND SUPPORT IN SUCH PARTS OF THE UNITED KINGDOM OR THE WORLD AS THE DIRECTORS FROM TIME TO TIME THINK FIT; AND 
3.3 TO ADVANCE EDUCATION IN SUCH WAYS AND IN SUCH PARTS OF THE UNITED KINGDOM OR THE WORLD AS THE DIRECTORS FROM TIME TO TIME MAY THINK FIT.",True,Medium,No Filing,Religious Activities
50,288096,THE ST DUNSTAN'S AND ALL SAINTS STEPNEY PRESERVATION TRUST,"ST DUNSTAN'S RECTORY, RECTORY SQUARE, STEPNEY, LONDON",E1 3NQ,Bethnal Green and Stepney,02077028685,Not available,www.stdunstanstepney.com,31/12/2024,9084.0,0.0,Trust,Provides Buildings/facilities/open Space,Religious Activities,The General Public/mankind,"Maintenance and preservation of historic church buildings and associated open spaces in the parish of St Dunstan and All Saint, Stepney","RESTORATION, REPAIR AND UPKEEP OF THE FABRIC AND FIXTURES OF THE CHURCH.",True,Micro,No Filing,Religious Activities
